heading,x,y
238.951583862,31.3027612492,121.291513755
238.951583862,31.3027612486,121.291513754
238.951782227,31.3027612479,121.291513754
238.952102661,31.3027612473,121.291513753
238.952285767,31.3027612468,121.291513753
238.952651978,31.3027612463,121.291513752
238.952606201,31.302761246,121.291513751
238.952438354,31.3027612456,121.29151375
238.952056885,31.3027612453,121.29151375
238.951904297,31.302761245,121.291513749
238.95111084,31.3027612447,121.291513748
238.950653076,31.3027612443,121.291513748
238.95123291,31.3027612439,121.291513747
238.951065063,31.3027612436,121.291513747
238.950912476,31.3027612432,121.291513746
238.951400757,31.3027612429,121.291513746
238.951629639,31.3027612426,121.291513745
238.952087402,31.3027612422,121.291513744
238.951766968,31.3027612418,121.291513744
238.95173645,31.3027612414,121.291513743
238.951431274,31.3027612411,121.291513742
238.951248169,31.3027612407,121.291513741
238.951461792,31.3027612403,121.29151374
238.951309204,31.3027612399,121.291513739
238.951293945,31.3027612394,121.291513738
238.951400757,31.302761239,121.291513738
238.950897217,31.3027612386,121.291513737
238.950683594,31.3027612381,121.291513736
238.951187134,31.3027612376,121.291513735
238.951568604,31.3027612371,121.291513734
238.951126099,31.3027612366,121.291513734
238.951782227,31.3027612361,121.291513733
238.951828003,31.3027612356,121.291513732
238.952133179,31.3027612351,121.291513731
238.951797485,31.3027612345,121.29151373
238.951843262,31.302761234,121.291513729
238.952178955,31.3027612336,121.291513728
238.952056885,31.3027612333,121.291513728
238.951934814,31.302761233,121.291513727
238.951751709,31.3027612327,121.291513726
238.952056885,31.3027612323,121.291513725
238.952041626,31.3027612319,121.291513724
238.952545166,31.3027612315,121.291513723
238.952484131,31.302761231,121.291513722
238.952468872,31.3027612305,121.291513721
240.050811768,31.30276123,121.291513721
240.051620483,31.3027612295,121.291513721
240.051635742,31.3027612291,121.291513721
240.051986694,31.3027612287,121.291513721
240.053039551,31.3027612282,121.291513721
240.053543091,31.3027612277,121.291513721
240.054702759,31.3027612273,121.29151372
240.05531311,31.3027612268,121.29151372
240.056503296,31.3027612263,121.29151372
240.057601929,31.3027612259,121.29151372
240.059112549,31.3027612254,121.291513719
240.060028076,31.3027612248,121.291513719
240.060653687,31.3027612243,121.291513718
240.061065674,31.3027612237,121.291513718
240.062103271,31.3027612232,121.291513717
240.063064575,31.3027612228,121.291513717
240.063568115,31.3027612224,121.291513717
240.065185547,31.302761222,121.291513716
240.06590271,31.3027612217,121.291513716
240.067337036,31.3027612214,121.291513717
240.068161011,31.302761221,121.291513717
240.068984985,31.3027612205,121.291513717
240.069747925,31.30276122,121.291513717
240.069824219,31.3027612194,121.291513717
240.070220947,31.3027612187,121.291513716
240.070648193,31.302761218,121.291513716
240.071014404,31.3027612172,121.291513716
240.072189331,31.3027612165,121.291513716
240.073654175,31.3027612157,121.291513715
240.07484436,31.302761215,121.291513715
240.075653076,31.3027612143,121.291513715
240.076507568,31.3027612138,121.291513715
240.076583862,31.3027612134,121.291513714
240.077941895,31.302761213,121.291513714
240.078598022,31.3027612125,121.291513714
240.079223633,31.302761212,121.291513713
240.079956055,31.3027612114,121.291513713
240.080581665,31.3027612106,121.291513713
240.081604004,31.3027612098,121.291513713
240.082717896,31.3027612089,121.291513713
240.083740234,31.302761208,121.291513712
240.08442688,31.3027612071,121.291513712
240.084869385,31.3027612062,121.291513712
240.085830688,31.3027612052,121.291513712
240.08631897,31.3027612043,121.291513712
240.08631897,31.3027612034,121.291513712
240.086547852,31.3027612026,121.291513712
240.087631226,31.3027612019,121.291513712
240.088272095,31.3027612012,121.291513712
239.403930664,31.3027612006,121.291513712
239.404632568,31.3027612002,121.291513712
239.404983521,31.3027611998,121.291513713
239.404830933,31.3027611993,121.291513713
239.405090332,31.3027611987,121.291513714
239.405654907,31.3027611981,121.291513714
239.405029297,31.3027611974,121.291513714
239.405227661,31.3027611965,121.291513715
239.405670166,31.3027611955,121.291513715
239.406860352,31.3027611944,121.291513715
239.407455444,31.3027611934,121.291513716
239.407791138,31.3027611924,121.291513716
239.408508301,31.3027611914,121.291513717
239.408859253,31.3027611906,121.291513718
239.408966064,31.30276119,121.291513718
239.409545898,31.3027611894,121.291513719
239.409820557,31.3027611889,121.291513719
239.410446167,31.3027611884,121.29151372
239.411392212,31.3027611879,121.291513721
239.412414551,31.3027611873,121.291513721
239.413269043,31.3027611867,121.291513721
239.413818359,31.3027611859,121.291513722
239.414535522,31.3027611851,121.291513722
239.414428711,31.3027611844,121.291513722
239.414215088,31.3027611836,121.291513723
239.414077759,31.3027611829,121.291513723
239.414047241,31.3027611821,121.291513724
239.413925171,31.3027611812,121.291513725
239.414535522,31.3027611803,121.291513727
239.415252686,31.3027611794,121.291513728
239.416061401,31.3027611784,121.29151373
239.416595459,31.3027611775,121.291513732
239.417480469,31.3027611767,121.291513733
239.417053223,31.302761176,121.291513734
239.416793823,31.3027611755,121.291513734
239.416000366,31.3027611749,121.291513734
239.415908813,31.3027611743,121.291513734
239.417098999,31.3027611736,121.291513733
239.417358398,31.3027611729,121.291513733
239.418365479,31.3027611721,121.291513732
239.418716431,31.3027611714,121.291513732
239.419128418,31.3027611708,121.291513732
239.419891357,31.3027611703,121.291513732
239.420043945,31.3027611699,121.291513733
239.420135498,31.3027611695,121.291513733
239.420181274,31.3027611691,121.291513734
239.419815063,31.3027611685,121.291513735
239.419723511,31.3027611678,121.291513736
239.419418335,31.3027611671,121.291513737
239.418930054,31.3027611663,121.291513737
240.468444824,31.3027611655,121.291513737
240.469848633,31.3027611647,121.291513737
240.471481323,31.302761164,121.291513738
240.472518921,31.3027611632,121.291513738
240.473312378,31.3027611625,121.291513737
240.474716187,31.3027611617,121.291513737
240.475204468,31.302761161,121.291513738
240.475997925,31.3027611604,121.291513738
240.477386475,31.3027611598,121.291513738
240.479110718,31.3027611592,121.291513739
240.480178833,31.3027611585,121.291513739
240.481430054,31.3027611576,121.29151374
240.482803345,31.3027611566,121.291513741
240.483535767,31.3027611554,121.291513742
240.484283447,31.3027611542,121.291513743
240.484695435,31.3027611529,121.291513743
240.485275269,31.3027611517,121.291513743
240.485748291,31.3027611504,121.291513744
240.486907959,31.302761149,121.291513744
240.487640381,31.3027611477,121.291513745
240.489212036,31.3027611465,121.291513745
240.490036011,31.3027611454,121.291513746
240.491210938,31.3027611444,121.291513747
240.492385864,31.3027611436,121.291513748
240.493774414,31.302761143,121.291513749
240.494827271,31.3027611424,121.29151375
240.495895386,31.3027611419,121.291513751
240.497009277,31.3027611413,121.291513751
240.49822998,31.3027611406,121.291513752
240.499923706,31.3027611398,121.291513753
240.501800537,31.302761139,121.291513753
240.503341675,31.3027611382,121.291513754
240.504653931,31.3027611374,121.291513754
240.505691528,31.3027611365,121.291513755
240.506347656,31.3027611357,121.291513755
240.507598877,31.3027611349,121.291513756
240.508468628,31.3027611341,121.291513757
240.50944519,31.3027611334,121.291513757
240.509994507,31.3027611327,121.291513758
240.510192871,31.3027611321,121.291513759
240.511154175,31.3027611316,121.291513759
240.512237549,31.3027611312,121.291513759
240.513366699,31.3027611308,121.291513759
240.51461792,31.3027611304,121.291513759
240.516098022,31.3027611299,121.291513759
240.517379761,31.3027611293,121.291513759
240.517959595,31.3027611287,121.291513759
240.518569946,31.3027611282,121.291513759
240.519973755,31.3027611279,121.291513759
240.521469116,31.3027611279,121.291513758
239.812561035,31.302761128,121.291513758
239.813156128,31.3027611282,121.291513759
239.813858032,31.3027611284,121.291513759
239.813949585,31.3027611286,121.291513759
239.81463623,31.3027611288,121.291513759
239.814422607,31.3027611291,121.29151376
239.81463623,31.3027611294,121.29151376
239.814712524,31.3027611298,121.291513759
239.815261841,31.3027611301,121.291513759
239.816238403,31.3027611304,121.291513759
239.81703186,31.3027611307,121.291513758
239.817703247,31.302761131,121.291513758
239.818878174,31.3027611314,121.291513758
239.819869995,31.3027611318,121.291513758
239.820419312,31.3027611325,121.291513758
239.820510864,31.3027611332,121.291513758
239.820404053,31.302761134,121.291513758
239.820526123,31.3027611348,121.291513758
239.820526123,31.3027611356,121.291513758
239.820846558,31.3027611363,121.291513758
239.821716309,31.302761137,121.291513758
239.822723389,31.3027611376,121.291513758
239.823806763,31.3027611382,121.291513757
239.824508667,31.3027611389,121.291513757
239.824859619,31.3027611396,121.291513757
239.825454712,31.3027611405,121.291513756
239.825897217,31.3027611414,121.291513756
239.826461792,31.3027611423,121.291513756
239.827331543,31.3027611425,121.291513756
239.827865601,31.3027611429,121.291513756
239.828063965,31.3027611436,121.291513756
