heading,x,y
86.1500015259,31.1508326,121.1673147
86.1500015259,31.1508326,121.167315
86.1500015259,31.1508326,121.1673151
86.1500015259,31.1508327,121.1673154
86.1500015259,31.1508327,121.1673156
86.1600036621,31.1508327,121.1673159
86.1600036621,31.1508327,121.1673161
86.1600036621,31.1508327,121.1673165
86.1600036621,31.1508327,121.1673167
86.1600036621,31.1508327,121.1673171
86.1699981689,31.1508328,121.1673174
86.1699981689,31.1508328,121.1673178
86.1699981689,31.1508328,121.1673181
86.1699981689,31.1508328,121.1673185
86.1800003052,31.1508328,121.1673188
86.1800003052,31.1508329,121.1673193
86.1800003052,31.1508329,121.1673196
86.1900024414,31.1508329,121.1673201
86.1999969482,31.1508329,121.1673205
86.2200012207,31.1508329,121.167321
86.2399978638,31.150833,121.1673213
86.2699966431,31.150833,121.1673219
86.2799987793,31.150833,121.1673223
86.3000030518,31.150833,121.1673229
86.3199996948,31.1508331,121.1673233
86.3499984741,31.1508331,121.1673239
86.3700027466,31.1508331,121.1673243
86.4199981689,31.1508331,121.1673249
86.4599990845,31.1508331,121.1673253
86.5199966431,31.1508332,121.167326
86.5599975586,31.1508332,121.1673264
86.6299972534,31.1508332,121.1673271
86.6699981689,31.1508332,121.1673275
86.7399978638,31.1508332,121.1673282
86.7900009155,31.1508332,121.1673286
86.8700027466,31.1508332,121.1673293
86.9199981689,31.1508333,121.1673298
86.9899978638,31.1508333,121.1673305
87.0400009155,31.1508333,121.167331
87.1200027466,31.1508333,121.1673317
87.1699981689,31.1508333,121.1673322
87.25,31.1508333,121.1673329
87.2900009155,31.1508333,121.1673334
87.3499984741,31.1508334,121.1673341
87.3899993896,31.1508334,121.1673346
87.4400024414,31.1508334,121.1673354
87.4800033569,31.1508334,121.1673359
87.5199966431,31.1508334,121.1673367
87.5500030518,31.1508334,121.1673372
87.5599975586,31.1508335,121.167338
87.5699996948,31.1508335,121.1673385
87.5899963379,31.1508335,121.1673393
87.5999984741,31.1508335,121.1673398
87.6200027466,31.1508336,121.1673406
87.6399993896,31.1508336,121.1673411
87.6500015259,31.1508336,121.1673419
87.6600036621,31.1508336,121.1673424
87.6699981689,31.1508336,121.1673432
87.6900024414,31.1508337,121.1673438
87.6999969482,31.1508337,121.1673446
87.7099990845,31.1508337,121.1673452
87.7099990845,31.1508337,121.167346
87.7200012207,31.1508338,121.1673465
87.7300033569,31.1508338,121.1673474
87.7300033569,31.1508338,121.1673479
87.75,31.1508338,121.1673488
87.7600021362,31.1508339,121.1673493
87.7799987793,31.1508339,121.1673501
87.7900009155,31.1508339,121.1673507
87.8000030518,31.150834,121.1673515
87.8099975586,31.150834,121.1673521
87.8199996948,31.150834,121.1673529
87.8300018311,31.150834,121.1673535
87.8399963379,31.1508341,121.1673543
87.8399963379,31.1508341,121.1673549
87.8600006104,31.1508341,121.1673557
87.8700027466,31.1508341,121.1673562
87.8899993896,31.1508342,121.1673571
87.8899993896,31.1508342,121.1673576
87.9100036621,31.1508342,121.1673584
87.9199981689,31.1508342,121.167359
87.9300003052,31.1508343,121.1673598
87.9400024414,31.1508343,121.1673603
87.9700012207,31.1508343,121.1673611
87.9800033569,31.1508343,121.1673616
88.0,31.1508343,121.1673624
88.0,31.1508343,121.167363
88.0199966431,31.1508344,121.1673638
88.0299987793,31.1508344,121.1673643
88.0400009155,31.1508344,121.1673651
88.0500030518,31.1508344,121.1673656
88.0599975586,31.1508344,121.1673664
88.0599975586,31.1508344,121.1673669
88.0599975586,31.1508345,121.1673677
88.0899963379,31.1508345,121.1673682
88.1100006104,31.1508345,121.1673689
88.1200027466,31.1508345,121.1673694
88.1299972534,31.1508345,121.1673702
88.1399993896,31.1508346,121.1673707
88.1500015259,31.1508346,121.1673714
88.1600036621,31.1508346,121.1673719
88.1699981689,31.1508346,121.1673726
88.1800003052,31.1508346,121.1673731
88.1800003052,31.1508347,121.1673738
88.1900024414,31.1508347,121.1673743
88.1999969482,31.1508347,121.167375
88.2099990845,31.1508347,121.1673755
88.2200012207,31.1508347,121.1673757
88.2300033569,31.1508347,121.1673764
88.25,31.1508348,121.1673773
88.2600021362,31.1508348,121.1673778
88.2699966431,31.1508348,121.1673785
88.2799987793,31.1508348,121.1673789
88.2900009155,31.1508348,121.1673796
88.3000030518,31.1508348,121.16738
88.3099975586,31.1508348,121.1673807
88.3300018311,31.1508349,121.1673811
88.3399963379,31.1508349,121.1673817
88.3499984741,31.1508349,121.1673821
88.3600006104,31.1508349,121.1673828
88.3700027466,31.150835,121.1673832
88.3799972534,31.150835,121.1673838
88.3899993896,31.150835,121.1673842
88.4100036621,31.150835,121.1673848
88.4199981689,31.150835,121.1673852
88.4199981689,31.1508351,121.1673858
88.4300003052,31.1508351,121.1673862
88.4300003052,31.1508351,121.1673868
88.4400024414,31.1508351,121.1673872
88.4499969482,31.1508351,121.1673878
88.4599990845,31.1508351,121.1673881
88.4700012207,31.1508352,121.1673887
88.4700012207,31.1508352,121.1673891
88.4899978638,31.1508352,121.1673896
88.4899978638,31.1508352,121.16739
88.5,31.1508352,121.1673905
88.5100021362,31.1508352,121.1673909
88.5100021362,31.1508352,121.1673913
88.5199966431,31.1508353,121.1673918
88.5299987793,31.1508353,121.1673923
88.5299987793,31.1508353,121.1673927
88.5400009155,31.1508353,121.1673932
88.5400009155,31.1508353,121.1673935
88.5599975586,31.1508353,121.167394
88.5599975586,31.1508353,121.1673944
88.5699996948,31.1508353,121.1673949
88.5800018311,31.1508353,121.1673952
88.5899963379,31.1508354,121.1673957
88.5899963379,31.1508354,121.167396
88.5999984741,31.1508354,121.1673965
88.6100006104,31.1508354,121.1673968
88.6200027466,31.1508354,121.1673973
88.6200027466,31.1508354,121.1673976
88.6299972534,31.1508354,121.1673981
88.6399993896,31.1508354,121.1673984
88.6500015259,31.1508354,121.1673989
88.6500015259,31.1508355,121.1673992
88.6600036621,31.1508355,121.1673996
88.6600036621,31.1508355,121.1673999
88.6800003052,31.1508355,121.1674004
88.6800003052,31.1508355,121.1674007
88.6900024414,31.1508355,121.1674012
88.6900024414,31.1508355,121.1674015
88.7099990845,31.1508355,121.1674019
88.7200012207,31.1508355,121.1674022
88.7300033569,31.1508355,121.1674027
88.7399978638,31.1508355,121.167403
88.7399978638,31.1508355,121.1674035
88.75,31.1508356,121.1674038
88.7600021362,31.1508356,121.1674042
88.7699966431,31.1508356,121.1674045
88.7799987793,31.1508356,121.167405
88.7799987793,31.1508356,121.1674053
88.7799987793,31.1508356,121.1674058
88.7799987793,31.1508356,121.1674062
88.7699966431,31.1508356,121.1674066
88.7600021362,31.1508356,121.167407
